Wilayah,Tahun,Jumlah Bayi Lahir,Jumlah Bayi BBLR,Jumlah Kurang Gizi
Kabupaten Cilacap,2020,28303,1052,5878
Kabupaten Banyumas,2020,26473,1724,3773
Kabupaten Purbalingga,2020,14808,767,2731
Kabupaten Banjarnegara,2020,15330,1033,2212
Kabupaten Kebumen,2020,19548,1003,6162
Kabupaten Purworejo,2020,9051,566,1168
Kabupaten Wonosobo,2020,12446,36,1429
Kabupaten Magelang,2020,17044,863,2599
Kabupaten Boyolali,2020,13836,471,2379
Kabupaten Klaten,2020,15735,934,5416
Kabupaten Sukoharjo,2020,12262,480,863
Kabupaten Wonogiri,2020,10747,529,639
Kabupaten Karanganyar,2020,12137,615,2506
Kabupaten Sragen,2020,13462,704,3117
Kabupaten Grobogan,2020,21281,1079,2907
Kabupaten Blora,2020,11578,566,6472
Kabupaten Rembang,2020,8892,437,1691
Kabupaten Pati,2020,17610,580,4615
Kabupaten Kudus,2020,14768,580,2567
Kabupaten Jepara,2020,20490,702,6367
Kabupaten Demak,2020,20837,634,6026
Kabupaten Semarang,2020,14373,55,2137
Kabupaten Temanggung,2020,10435,386,1000
Kabupaten Kendal,2020,15545,679,990
Kabupaten Batang,2020,12802,609,3782
Kabupaten Pekalongan,2020,16532,1273,2153
Kabupaten Pemalang,2020,25797,51,1024
Kabupaten Tegal,2020,26916,902,6458
Kabupaten Brebes,2020,31243,120,8125
Kota Magelang,2020,1441,83,179
Kota Surakarta,2020,9634,183,243
Kota Salatiga,2020,2469,111,81
Kota Semarang,2020,23825,742,920
Kota Pekalongan,2020,5905,220,989
Kota Tegal,2020,3958,232,1051
Kabupaten Cilacap,2021,27533,1088,6195
Kabupaten Banyumas,2021,24381,1629,2985
Kabupaten Purbalingga,2021,14089,851,4643
Kabupaten Banjarnegara,2021,14280,1058,4792
Kabupaten Kebumen,2021,18849,794,6264
Kabupaten Purworejo,2021,8606,542,2478
Kabupaten Wonosobo,2021,12184,621,2515
Kabupaten Magelang,2021,16263,737,4170
Kabupaten Boyolali,2021,13497,473,2369
