Wilayah,Tahun,Angka Penemuan TBC per 100.000 penduduk,Jumlah Kasus Baru AIDS,Penemuan Kasus Baru Kusta per 100.000 penduduk,Angka Kesakitan Malaria per 1.000 penduduk,Angka Kesakitan DBD per 100.000 penduduk
Kabupaten Cilacap,2023,218,57,0.85,0.01,5.18
Kabupaten Banyumas,2023,377,88,1.31,0.01,14.93
Kabupaten Purbalingga,2023,241,55,6.81,0.01,10.80
Kabupaten Banjarnegara,2023,137,64,1.24,0.01,15.56
Kabupaten Kebumen,2023,208,57,1.29,0.01,5.94
Kabupaten Purworejo,2023,123,36,1.14,0.06,2.92
Kabupaten Wonosobo,2023,201,21,0.22,0.01,5.39
Kabupaten Magelang,2023,75,16,0.90,0.01,11.12
Kabupaten Boyolali,2023,125,22,1.74,0.01,40.55
Kabupaten Klaten,2023,140,47,1.48,0.01,23.98
Kabupaten Sukoharjo,2023,197,48,1.50,0.03,24.98
Kabupaten Wonogiri,2023,151,63,0.86,0.00,2.95
Kabupaten Karanganyar,2023,107,67,1.57,0.00,10.57
Kabupaten Sragen,2023,124,43,2.91,0.02,12.33
Kabupaten Grobogan,2023,154,62,1.41,0.02,22.71
Kabupaten Blora,2023,156,69,4.33,0.06,29.50
Kabupaten Rembang,2023,216,59,6.66,0.02,28.17
Kabupaten Pati,2023,189,123,2.50,0.05,34.06
Kabupaten Kudus,2023,304,14,1.94,0.01,44.02
Kabupaten Jepara,2023,144,40,6.31,0.00,10.15
Kabupaten Demak,2023,163,63,2.34,0.03,22.97
Kabupaten Semarang,2023,86,13,0.19,0.00,14.34
Kabupaten Temanggung,2023,104,12,0.37,0.00,2.10
Kabupaten Kendal,2023,239,58,0.95,0.01,35.62
Kabupaten Batang,2023,176,70,4.58,0.00,23.16
Kabupaten Pekalongan,2023,209,39,6.95,0.00,40.10
Kabupaten Pemalang,2023,222,14,6.50,0.00,3.35
Kabupaten Tegal,2023,315,68,14.74,0.01,24.23
Kabupaten Brebes,2023,295,24,10.43,0.00,6.31
Kota Magelang,2023,1122,2,1.64,0.12,36.02
Kota Surakarta,2023,503,40,0.95,0.05,18.79
Kota Salatiga,2023,610,55,1.51,0.07,14.08
Kota Semarang,2023,443,60,0.53,0.03,23.84
Kota Pekalongan,2023,460,29,11.97,0.01,21.73
Kota Tegal,2023,1226,10,6.37,0.00,16.97
Kabupaten Cilacap,2024,84,263,1.48,0.02,34.80
Kabupaten Banyumas,2024,104,390,0.65,0.06,100.50
Kabupaten Purbalingga,2024,107,105,1.93,0.01,26.80
Kabupaten Banjarnegara,2024,62,102,0.57,0.01,73.30
Kabupaten Kebumen,2024,80,187,1.70,0.01,16.80
Kabupaten Purworejo,2024,67,80,1.01,0.01,38.00
Kabupaten Wonosobo,2024,83,93,1.63,0.00,34.10
Kabupaten Magelang,2024,58,73,1.12,0.01,25.00
Kabupaten Boyolali,2024,59,178,1.45,0.00,85.80
Kabupaten Klaten,2024,74,141,2.32,0.00,92.50
Kabupaten Sukoharjo,2024,84,136,2.34,0.03,60.40
Kabupaten Wonogiri,2024,56,107,3.04,0.00,42.30
Kabupaten Karanganyar,2024,74,150,1.35,0.00,38.70
Kabupaten Sragen,2024,74,227,2.69,0.01,42.90
Kabupaten Grobogan,2024,79,200,1.46,0.02,77.40
Kabupaten Blora,2024,91,223,5.51,0.03,43.20
Kabupaten Rembang,2024,101,153,1.50,0.02,49.40
Kabupaten Pati,2024,84,359,4.45,0.03,43.20
Kabupaten Kudus,2024,123,152,2.26,0.01,28.40
Kabupaten Jepara,2024,75,155,4.22,0.00,32.60
Kabupaten Demak,2024,93,173,2.87,0.01,27.50
Kabupaten Semarang,2024,55,141,0.28,0.01,17.90
Kabupaten Temanggung,2024,70,68,0.12,0.00,9.50
Kabupaten Kendal,2024,88,179,1.50,0.01,87.40
Kabupaten Batang,2024,84,188,3.70,0.01,20.10
Kabupaten Pekalongan,2024,104,113,7.95,0.01,45.40
Kabupaten Pemalang,2024,95,188,4.74,0.00,5.20
Kabupaten Tegal,2024,94,209,11.64,0.00,15.30
Kabupaten Brebes,2024,89,177,12.83,0.00,13.50
