Wilayah,Tahun,Dokter,Perawat,Bidan,Kefarmasian,Tenaga Gizi
Kabupaten Cilacap,2020,272,1637,1221,229,72
Kabupaten Banyumas,2020,501,2949,1030,451,119
Kabupaten Purbalingga,2020,182,1016,646,188,59
Kabupaten Banjarnegara,2020,144,862,547,120,71
Kabupaten Kebumen,2020,335,1663,868,451,84
Kabupaten Purworejo,2020,203,930,545,150,57
Kabupaten Wonosobo,2020,124,696,366,115,48
Kabupaten Magelang,2020,202,742,504,109,47
Kabupaten Boyolali,2020,218,1111,519,200,52
Kabupaten Klaten,2020,289,1959,598,332,103
Kabupaten Sukoharjo,2020,294,1871,538,663,64
Kabupaten Wonogiri,2020,245,1118,628,159,71
Kabupaten Karanganyar,2020,200,881,546,175,37
Kabupaten Sragen,2020,219,1280,923,317,79
Kabupaten Grobogan,2020,230,1523,1099,159,62
Kabupaten Blora,2020,172,934,731,121,73
Kabupaten Rembang,2020,121,873,603,106,36
Kabupaten Pati,2020,350,1712,877,182,67
Kabupaten Kudus,2020,249,1595,645,576,55
Kabupaten Jepara,2020,227,1252,666,218,57
Kabupaten Demak,2020,164,852,626,133,51
Kabupaten Semarang,2020,175,942,480,339,75
Kabupaten Temanggung,2020,214,878,402,207,39
Kabupaten Kendal,2020,150,1075,885,139,57
Kabupaten Batang,2020,90,775,504,101,41
Kabupaten Pekalongan,2020,135,775,616,90,61
Kabupaten Pemalang,2020,167,1154,637,176,57
Kabupaten Tegal,2020,228,1404,749,577,66
Kabupaten Brebes,2020,288,1448,1142,286,91
Kota Magelang,2020,197,1399,211,249,41
Kota Surakarta,2020,417,4045,649,802,115
Kota Salatiga,2020,195,694,245,147,42
Kota Semarang,2020,801,6359,1073,1027,211
Kota Pekalongan,2020,163,771,370,335,34
Kota Tegal,2020,130,1015,306,287,36
Kabupaten Cilacap,2021,282,1833,1154,269,75
Kabupaten Banyumas,2021,603,3155,1234,553,125
Kabupaten Purbalingga,2021,181,1100,606,180,59
Kabupaten Banjarnegara,2021,144,896,686,125,75
Kabupaten Kebumen,2021,353,1723,1077,467,81
Kabupaten Purworejo,2021,166,928,658,158,58
Kabupaten Wonosobo,2021,127,718,484,127,49
Kabupaten Magelang,2021,203,784,559,132,41
Kabupaten Boyolali,2021,237,1192,642,215,57
Kabupaten Klaten,2021,332,2049,755,354,108
Kabupaten Sukoharjo,2021,391,2035,685,718,73
Kabupaten Wonogiri,2021,244,1234,586,246,76
Kabupaten Karanganyar,2021,262,1027,680,302,38
Kabupaten Sragen,2021,242,1508,986,378,84
Kabupaten Grobogan,2021,243,1602,1040,254,64
Kabupaten Blora,2021,167,997,749,127,76
Kabupaten Rembang,2021,114,874,540,118,38
Kabupaten Pati,2021,312,1827,1004,234,70
Kabupaten Kudus,2021,334,1770,752,611,66
Kabupaten Jepara,2021,290,1310,606,248,67
Kabupaten Demak,2021,230,951,712,135,51
Kabupaten Semarang,2021,253,1044,573,379,66
Kabupaten Temanggung,2021,169,921,531,234,41
Kabupaten Kendal,2021,190,1231,813,181,61
Kabupaten Batang,2021,102,831,631,118,43
Kabupaten Pekalongan,2021,130,804,676,156,68
Kabupaten Pemalang,2021,187,1198,953,191,59
Kabupaten Tegal,2021,253,1524,1163,611,68
Kabupaten Brebes,2021,284,1530,1472,319,91
Kota Magelang,2021,153,1481,184,325,43
Kota Surakarta,2021,534,1212,641,951,114
Kota Salatiga,2021,167,736,208,175,43
Kota Semarang,2021,968,6752,956,1238,221
Kota Pekalongan,2021,208,824,327,327,33
Kota Tegal,2021,148,1079,291,310,41
Kabupaten Cilacap,2023,436,1935,1145,256,91
Kabupaten Banyumas,2023,860,3484,1196,471,145
Kabupaten Purbalingga,2023,262,1287,664,181,54
Kabupaten Banjarnegara,2023,195,990,739,119,85
Kabupaten Kebumen,2023,398,1862,1045,274,88
Kabupaten Purworejo,2023,261,1044,640,146,62
Kabupaten Wonosobo,2023,239,757,498,124,48
Kabupaten Magelang,2023,283,937,643,161,66
Kabupaten Boyolali,2023,398,1429,633,220,69
Kabupaten Klaten,2023,566,2131,811,361,123
Kabupaten Sukoharjo,2023,521,2049,594,387,82
Kabupaten Wonogiri,2023,358,1314,570,240,80
Kabupaten Karanganyar,2023,295,949,594,150,54
Kabupaten Sragen,2023,329,1421,835,246,74
Kabupaten Grobogan,2023,402,1769,1121,232,81
Kabupaten Blora,2023,245,1003,715,127,68
Kabupaten Rembang,2023,206,1046,596,126,69
Kabupaten Pati,2023,505,1898,1100,255,91
Kabupaten Kudus,2023,408,1726,702,215,59
Kabupaten Jepara,2023,297,1282,576,188,62
Kabupaten Demak,2023,321,1023,678,165,57
Kabupaten Semarang,2023,311,1021,495,212,87
Kabupaten Temanggung,2023,264,969,598,139,47
Kabupaten Kendal,2023,292,1306,779,186,93
Kabupaten Batang,2023,152,781,653,118,48
Kabupaten Pekalongan,2023,220,895,714,151,56
Kabupaten Pemalang,2023,316,1278,934,188,75
Kabupaten Tegal,2023,378,1621,1092,290,76
Kabupaten Brebes,2023,406,1726,1409,286,91
Kota Magelang,2023,359,1452,195,211,43
Kota Surakarta,2023,916,4428,605,788,137
Kota Salatiga,2023,259,786,236,116,36
Kota Semarang,2023,2066,7262,978,1179,264
Kota Pekalongan,2023,241,798,304,185,36
Kota Tegal,2023,178,1016,276,207,40
