Wilayah,Tahun,Garis Kemiskinan Maret Rp,Jumlah Penduduk Miskin Maret Ribu Jiwa,Jumlah Penduduk Ribu Jiwa,Persentase Penduduk Miskin Maret
Kabupaten Cilacap,2020,351735,198.60,1944.86,10.21
Kabupaten Banyumas,2020,406250,225.84,1776.92,12.71
Kabupaten Purbalingga,2020,375199,149.48,998.56,14.97
Kabupaten Banjarnegara,2020,318334,144.95,1017.77,14.24
Kabupaten Kebumen,2020,380557,211.09,1350.44,15.63
Kabupaten Purworejo,2020,364289,84.79,769.88,11.01
Kabupaten Wonosobo,2020,362683,137.64,879.12,15.66
Kabupaten Magelang,2020,342430,146.34,1299.86,11.26
Kabupaten Boyolali,2020,347520,100.59,1062.71,9.47
Kabupaten Klaten,2020,419510,151.83,1260.51,12.05
Kabupaten Sukoharjo,2020,393776,68.89,907.59,7.59
Kabupaten Wonogiri,2020,341643,104.37,1043.18,10.00
Kabupaten Karanganyar,2020,385563,91.72,931.96,9.84
Kabupaten Sragen,2020,348890,119.38,976.95,12.22
Kabupaten Grobogan,2020,395001,172.26,1453.53,11.85
Kabupaten Blora,2020,353259,103.73,884.33,11.73
Kabupaten Rembang,2020,403932,100.08,645.33,15.51
Kabupaten Pati,2020,445913,127.37,1324.19,9.62
Kabupaten Kudus,2020,429666,64.24,849.18,7.56
Kabupaten Jepara,2020,407056,91.14,1184.95,7.69
Kabupaten Demak,2020,432533,146.87,1203.96,12.20
Kabupaten Semarang,2020,404455,79.88,1053.09,7.59
Kabupaten Temanggung,2020,323705,77.33,790.17,9.79
Kabupaten Kendal,2020,396691,97.49,1018.51,9.57
Kabupaten Batang,2020,309202,70.57,801.72,8.80
Kabupaten Pekalongan,2020,403662,91.86,968.82,9.48
Kabupaten Pemalang,2020,389209,209.03,1471.49,14.21
Kabupaten Tegal,2020,390520,117.50,1597.00,7.36
Kabupaten Brebes,2020,431897,308.78,1978.76,15.60
Kota Magelang,2020,522099,9.27,121.53,7.63
Kota Surakarta,2020,487445,47.03,522.36,9.00
Kota Salatiga,2020,454154,9.69,192.32,5.04
Kota Semarang,2020,522691,79.58,1653.52,4.81
Kota Pekalongan,2020,460789,22.16,307.15,7.21
Kota Tegal,2020,502031,19.55,273.83,7.14
Kabupaten Cilacap,2021,363367,201.71,1967.22,10.25
Kabupaten Banyumas,2021,417086,232.91,1790.53,13.01
Kabupaten Purbalingga,2021,384183,153.08,1006.16,15.21
